H71	EPI_ISL_414555
H109	EPI_ISL_417649
H109	EPI_ISL_417666
H109	EPI_ISL_417667
H109	EPI_ISL_418000
H25	EPI_ISL_411957
H25	EPI_ISL_414684
H25	EPI_ISL_414685
H25	EPI_ISL_414686
H23	EPI_ISL_410301
H22	EPI_ISL_409067
